머리;head
원;won (₩)
파운드;pound (£)
달러;dollar ($)
당기다;to pull
밀다;to push
세일;sale- discount
세일 중;on sale
세일하다;to have a sale on
제안;offer
거래;deal
빌리다;to borrow
빌려주다;to lend
빚지다;to owe
거래를 하다;to make a deal
제안을 하다;to make an offer
나는 ~ㄹ 수 없어요;I can't ...
제가 ~ 드릴게요;let me ... (polite)
너무 많은;too much- too many
몇 개;how many (things)
몇 사람;how many people
얼마;how much
다;all
충분히 없어요;doesn't have enough
걸리다;to take (time)
얼마나 오래;how long
십오 분 전 한시예요;it's a quarter to one
~ 얼마나 오래 걸려요?;how long does ... take?
영화는 얼마나 오래 걸려요?;how long is the film?
두 시간 이십분 오초;two hours- twenty minutes and five seconds
천;1-000
이천;2-000
이천일;2-001 (number)- 2001 (year)
이천십칠;2-017 (number)- 2017 (year)
천구백사십오;1-945 (number)- 1945 (year)
승강장;platform
사이;gap- relation
장거리;long distance
떠나다;to leave- to depart
도착하다;to arrive
안전하다;to be safe
안전한 여행 되세요;have a safe journey
장거리 여행이에요;it's a long journey
승강장 사이를 조심하세요;mind the gap
요일;day of the week
월요일;Monday
화요일;Tuesday
수요일;Wednesday
목요일;Thursday
금요일;Friday
토요일;Saturday
일요일;Sunday
생일;birthday
~이고;so- therefore
오늘 무슨 요일이에요?;which day of the week is today?
오늘은 월요일이고 내일은 화요일이에요;today is Monday so tomorrow is Tuesday
그녀의 생일은 언제예요?;when is her birthday?
그녀의 생일은 이월 삼일이에요;her birthday is on February third
생일 축하해요!;happy birthday!
삶;life
죽음;death
교육;education
세계;world
바라다;to hope
이루다;to achieve
당신은 당신의 인생에서 무엇을 이루고 싶어요?;what do you want to achieve in life?
나는 아무것도 하고 싶지 않아요;I don't want to do anything
그는 세계를 보고 싶어 해요;he wants to see the world
당신의 딸은 교육받기를 원해요?;does your daughter want an education?
나도 그러길 바라요;I hope so
봄;spring
여름;summer
가을;autumn
겨울;winter
나는 ~지 않을 거예요;I won't ...
직장;work- workplace
다음의;next
돌아오다;to be back- to return
곧;soon
당신은 곧 돌아올 거예요?;will you be back soon?
당신은 저녁식사 전이나 후에 돌아올 거예요?;will you come back before or after dinner?
나는 네 시 정각에 집에 올 거예요;I'll come home at four o'clock
나는 내일 학교에 가지 않을 거예요;I won't be at school tomorrow
우리는 여름에 한국에 갈 거예요;we're going to go to Korea in the summer
당신들은 누구와 갈 거예요?;who are you going to go with?
그녀는 내년 겨울에 한국에 갈 거예요;she'll go to Korea next winter
에세이;essay
설거지 거리;dishes
설거지를 하다;to do the dishes
빨래;laundry
빨래를 하다;to do the laundry
더럽다;to be dirty
깨끗하다;to be clean
청소;cleaning
청소하다;to clean (do cleaning)
혼자;alone
그는 혼자 있고 싶어 해요;he wants to be alone
그는 피곤하기 때문에 집에 있고 싶어 해요;he wants to stay at home because he's tired
나는 에세이를 써야 해요;I have to write an essay
우리 엄마는 빨래하는 것을 몹시 싫어해요;our mum hates doing the laundry
게임;game
게임을 하다;to play a game
아마도;maybe- perhaps- probably
그거 대신에;instead (of that)
다른;other- another
다른 사람들;the others
다른 사람들은 오늘 오후에 뭐 할 거예요?;what will the others do this afternoon?
아마도 그들은 극장에 갈 거예요;maybe they'll go to the theatre
우리는 박물관과 도서관에 갈 거예요;we'll go to the museum and to the library
다른 사람들은 오늘 오후에 해변에 가고 싶어 해요?;do the others want to go to the beach this afternoon?
내 생각에 그들은  그거 대신에 쇼핑 갈 거예요;I think they'll go shopping instead (of that)
