ett brev;a letter
ett paket;a parcel
att skicka;to send
att diska;to wash the dishes
att tvätta;to do the laundry
ren;clean
smutsig;dirty
en fläck;a stain- a spot
att städa;to do the cleaning
att hjälpa;to help
ensam;alone
han vill vara ensam;he wants to be alone
han är trött, så han vill stanna hemma;he's tired so he wants to stay at home
vill du hjälpa mig?;do you want to help me?
jag måste skriva en uppsats;I have to write an essay
jag hatar att tvätta;I hate doing the laundry
