norr (norra);north (northern)
ett mästerskap;a championship
att börja;to begin- to start
att förlora;to lose (a game)- to drop (something)
att vinna;to win
att ligga lika;to draw (equal score)
att heja;to cheer
säsongen börjar alltid i augusti;the season always begins in August
jag vill bli medlem i supporterklubben;I want to be a member of the fan club
om de vinner den här matchen, vinner de ligan;if they win this match- they'll win the league
vilket lag hejar du på?;which team do you support?
en succé;a success
total;total
det här var ju världens succé!;this was a total success!
galen;insane- mad
jag blir galen!;I'm losing it!
att klanta sig;to mess up (oneself)
jag har klantat mig;I have messed up
allt;everything
kontroll;control
allt är under kontroll;everything is under control
att behövas;to be needed
det behövs inte;there's no need
ett ord;a word
att beskriva;to describe
det kan inte beskrivas med ord;it can't be described in words
det är bara som det är;that's just the way it is
annars ...;or else ...
vem annars?;who else?
vems;whose
vems är den här kudden?;whose is this pillow?
är det här mina kalsonger?;are these my pants?
de här kalsongerna är mina;these pants are mine
det där är hennes örhängen;those are her earrings
är de där örhängerna hennes?;are those earrings hers?
den lila är din;the purple one is yours
det här är Mårtens hus nu;this is Mårten's house now
det här är blommor till min mamma;these flowers are for my mum
de här örhängena är min frus;these earrings are my wife's
